# name,kind,label,seat_name,population,parent
欧罗巴共和国,全国,-,维也纳首都,550000000,-
维也纳公社,县,首都,-,1500000,欧罗巴共和国
高卢-法兰西大区 (Gaul-France Region),行省,-,巴黎首府,90000000,欧罗巴共和国
巴黎公社,县,首府,-,1200000,高卢-法兰西大区 (Gaul-France Region)
莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region),行省,-,法兰克福首府,88000000,欧罗巴共和国
法兰克福公社,县,首府,-,1200000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
奥匈-多瑙河大区 (Austria-Hungary & Danubia Region),行省,-,维也纳首府,76000000,欧罗巴共和国
维也纳公社,县,首府,-,1200000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
波兰-立陶宛大区 (Polonia-Lithuania Region),行省,-,华沙首府,64000000,欧罗巴共和国
华沙公社,县,首府,-,1200000,波兰-立陶宛大区 (Polonia-Lithuania Region)
斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region),行省,-,哥本哈根首府,38000000,欧罗巴共和国
哥本哈根公社,县,首府,-,1200000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
伊比利亚大区 (Iberian Union Region),行省,-,马德里首府,52000000,欧罗巴共和国
马德里公社,县,首府,-,1200000,伊比利亚大区 (Iberian Union Region)
亚平宁-希腊大区 (Italia-Hellas Region),行省,-,亚平宁-希腊首府,74000000,欧罗巴共和国
亚平宁-希腊公社,县,首府,-,1200000,亚平宁-希腊大区 (Italia-Hellas Region)
联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region),行省,-,伦敦首府,68000000,欧罗巴共和国
伦敦公社,县,首府,-,1200000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
巴黎省 (Paris Province),行省,-,塞纳省会,32000000,高卢-法兰西大区 (Gaul-France Region)
塞纳公社,县,省会,-,700000,巴黎省 (Paris Province)
诺曼底省 (Normandy Province),行省,-,马恩省会,8500000,高卢-法兰西大区 (Gaul-France Region)
马恩公社,县,省会,-,700000,诺曼底省 (Normandy Province)
布列塔尼省 (Brittany Province),行省,-,雷恩省会,7200000,高卢-法兰西大区 (Gaul-France Region)
雷恩公社,县,省会,-,700000,布列塔尼省 (Brittany Province)
阿基坦省 (Aquitaine Province),行省,-,波尔多省会,9800000,高卢-法兰西大区 (Gaul-France Region)
波尔多公社,县,省会,-,700000,阿基坦省 (Aquitaine Province)
普罗旺斯省 (Provence Province),行省,-,尼斯省会,9600000,高卢-法兰西大区 (Gaul-France Region)
尼斯公社,县,省会,-,700000,普罗旺斯省 (Provence Province)
奥弗涅省 (Auvergne Province),行省,-,格勒诺布尔省会,8500000,高卢-法兰西大区 (Gaul-France Region)
格勒诺布尔公社,县,省会,-,700000,奥弗涅省 (Auvergne Province)
勃艮第省 (Burgundy Province),行省,-,第戎省会,7900000,高卢-法兰西大区 (Gaul-France Region)
第戎公社,县,省会,-,700000,勃艮第省 (Burgundy Province)
大东部省 (Grand Est Province),行省,-,梅斯省会,5500000,高卢-法兰西大区 (Gaul-France Region)
梅斯公社,县,省会,-,700000,大东部省 (Grand Est Province)
卢瓦尔河谷省 (Loire Valley Province),行省,-,奥尔良省会,11000000,高卢-法兰西大区 (Gaul-France Region)
奥尔良公社,县,省会,-,700000,卢瓦尔河谷省 (Loire Valley Province)
巴黎广域市 (Paris Metropolitan City),行省,-,巴黎中心城市,12000000,高卢-法兰西大区 (Gaul-France Region)
巴黎公社,县,中心城市,-,1000000,巴黎广域市 (Paris Metropolitan City)
巴黎左岸公社,县,-,-,1800000,巴黎广域市 (Paris Metropolitan City)
巴黎右岸公社,县,-,-,1700000,巴黎广域市 (Paris Metropolitan City)
里昂广域市 (Lyon Metropolitan City),行省,-,里昂中心城市,2800000,高卢-法兰西大区 (Gaul-France Region)
里昂公社,县,中心城市,-,1000000,里昂广域市 (Lyon Metropolitan City)
里昂罗讷公社,县,-,-,900000,里昂广域市 (Lyon Metropolitan City)
里昂索恩公社,县,-,-,850000,里昂广域市 (Lyon Metropolitan City)
马赛广域市 (Marseille Metropolitan City),行省,-,马赛中心城市,2400000,高卢-法兰西大区 (Gaul-France Region)
马赛公社,县,中心城市,-,1000000,马赛广域市 (Marseille Metropolitan City)
马赛旧港公社,县,-,-,800000,马赛广域市 (Marseille Metropolitan City)
马赛地中海公社,县,-,-,750000,马赛广域市 (Marseille Metropolitan City)
里尔广域市 (Lille Metropolitan City),行省,-,里尔中心城市,1900000,高卢-法兰西大区 (Gaul-France Region)
里尔公社,县,中心城市,-,1000000,里尔广域市 (Lille Metropolitan City)
里尔佛兰德公社,县,-,-,700000,里尔广域市 (Lille Metropolitan City)
里尔边界公社,县,-,-,650000,里尔广域市 (Lille Metropolitan City)
图卢兹广域市 (Toulouse Metropolitan City),行省,-,图卢兹中心城市,2300000,高卢-法兰西大区 (Gaul-France Region)
图卢兹公社,县,中心城市,-,1000000,图卢兹广域市 (Toulouse Metropolitan City)
图卢兹加龙公社,县,-,-,800000,图卢兹广域市 (Toulouse Metropolitan City)
图卢兹玫瑰公社,县,-,-,760000,图卢兹广域市 (Toulouse Metropolitan City)
塞纳副省区 (Seine Subprefecture District),县,-,塞纳副副省会,4200000,巴黎省 (Paris Province)
塞纳副公社,县,副省会,-,500000,塞纳副省区 (Seine Subprefecture District)
塞纳北公社,县,-,-,1100000,塞纳副省区 (Seine Subprefecture District)
塞纳南公社,县,-,-,1000000,塞纳副省区 (Seine Subprefecture District)
马恩副省区 (Marne Subprefecture District),县,-,马恩副副省会,2100000,诺曼底省 (Normandy Province)
马恩副公社,县,副省会,-,500000,马恩副省区 (Marne Subprefecture District)
马恩东公社,县,-,-,650000,马恩副省区 (Marne Subprefecture District)
马恩西公社,县,-,-,600000,马恩副省区 (Marne Subprefecture District)
雷恩副省区 (Rennes Subprefecture District),县,-,雷恩副副省会,1800000,布列塔尼省 (Brittany Province)
雷恩副公社,县,副省会,-,500000,雷恩副省区 (Rennes Subprefecture District)
