# name,kind,label,seat_name,population,parent
巴黎广域市 (Paris Metropolitan City),行省,-,巴黎中心城市,12000000,高卢-法兰西大区 (Gaul-France Region)
里昂广域市 (Lyon Metropolitan City),行省,-,里昂中心城市,2800000,高卢-法兰西大区 (Gaul-France Region)
马赛广域市 (Marseille Metropolitan City),行省,-,马赛中心城市,2400000,高卢-法兰西大区 (Gaul-France Region)
里尔广域市 (Lille Metropolitan City),行省,-,里尔中心城市,1900000,高卢-法兰西大区 (Gaul-France Region)
图卢兹广域市 (Toulouse Metropolitan City),行省,-,图卢兹中心城市,2300000,高卢-法兰西大区 (Gaul-France Region)
法兰克福广域市 (Frankfurt Metropolitan City),行省,-,法兰克福中心城市,5000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
柏林广域市 (Berlin Metropolitan City),行省,-,柏林中心城市,4500000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
汉堡广域市 (Hamburg Metropolitan City),行省,-,汉堡中心城市,2500000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
慕尼黑广域市 (Munich Metropolitan City),行省,-,慕尼黑中心城市,2600000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
阿姆斯特丹广域市 (Amsterdam Metropolitan City),行省,-,阿姆斯特丹中心城市,2200000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
布鲁塞尔广域市 (Brussels Metropolitan City),行省,-,布鲁塞尔中心城市,2100000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
维也纳广域市 (Vienna Metropolitan City),行省,-,维也纳中心城市,2600000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
布拉格广域市 (Prague Metropolitan City),行省,-,布拉格中心城市,2300000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
布达佩斯广域市 (Budapest Metropolitan City),行省,-,布达佩斯中心城市,2400000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
布加勒斯特广域市 (Bucharest Metropolitan City),行省,-,布加勒斯特中心城市,2500000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
贝尔格莱德广域市 (Belgrade Metropolitan City),行省,-,贝尔格莱德中心城市,2000000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
华沙广域市 (Warsaw Metropolitan City),行省,-,华沙中心城市,3500000,波兰-立陶宛大区 (Polonia-Lithuania Region)
基辅广域市 (Kyiv Metropolitan City),行省,-,基辅中心城市,3200000,波兰-立陶宛大区 (Polonia-Lithuania Region)
明斯克广域市 (Minsk Metropolitan City),行省,-,明斯克中心城市,2500000,波兰-立陶宛大区 (Polonia-Lithuania Region)
维尔纽斯广域市 (Vilnius Metropolitan City),行省,-,维尔纽斯中心城市,1800000,波兰-立陶宛大区 (Polonia-Lithuania Region)
敖德萨广域市 (Odesa Metropolitan City),行省,-,敖德萨中心城市,2100000,波兰-立陶宛大区 (Polonia-Lithuania Region)
哥本哈根广域市 (Copenhagen Metropolitan City),行省,-,哥本哈根中心城市,1600000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
斯德哥尔摩广域市 (Stockholm Metropolitan City),行省,-,斯德哥尔摩中心城市,1800000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
奥斯陆广域市 (Oslo Metropolitan City),行省,-,奥斯陆中心城市,1200000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
赫尔辛基广域市 (Helsinki Metropolitan City),行省,-,赫尔辛基中心城市,1300000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
马德里广域市 (Madrid Metropolitan City),行省,-,马德里中心城市,6500000,伊比利亚大区 (Iberian Union Region)
巴塞罗那广域市 (Barcelona Metropolitan City),行省,-,巴塞罗那中心城市,5600000,伊比利亚大区 (Iberian Union Region)
里斯本广域市 (Lisbon Metropolitan City),行省,-,里斯本中心城市,4200000,伊比利亚大区 (Iberian Union Region)
波尔图广域市 (Porto Metropolitan City),行省,-,波尔图中心城市,2500000,伊比利亚大区 (Iberian Union Region)
瓦伦西亚广域市 (Valencia Metropolitan City),行省,-,瓦伦西亚中心城市,3100000,伊比利亚大区 (Iberian Union Region)
伦敦广域市 (London Metropolitan City),行省,-,伦敦中心城市,8000000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
曼彻斯特广域市 (Manchester Metropolitan City),行省,-,曼彻斯特中心城市,3000000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
伯明翰广域市 (Birmingham Metropolitan City),行省,-,伯明翰中心城市,2800000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
爱丁堡广域市 (Edinburgh Metropolitan City),行省,-,爱丁堡中心城市,1800000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
都柏林广域市 (Dublin Metropolitan City),行省,-,都柏林中心城市,2100000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
