# name,kind,label,seat_name,population,parent
维也纳公社,县,首都,-,1500000,欧罗巴共和国
巴黎公社,县,首府,-,1200000,高卢-法兰西大区 (Gaul-France Region)
法兰克福公社,县,首府,-,1200000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
维也纳公社,县,首府,-,1200000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
华沙公社,县,首府,-,1200000,波兰-立陶宛大区 (Polonia-Lithuania Region)
哥本哈根公社,县,首府,-,1200000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
马德里公社,县,首府,-,1200000,伊比利亚大区 (Iberian Union Region)
亚平宁-希腊公社,县,首府,-,1200000,亚平宁-希腊大区 (Italia-Hellas Region)
伦敦公社,县,首府,-,1200000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
塞纳公社,县,省会,-,700000,巴黎省 (Paris Province)
马恩公社,县,省会,-,700000,诺曼底省 (Normandy Province)
雷恩公社,县,省会,-,700000,布列塔尼省 (Brittany Province)
波尔多公社,县,省会,-,700000,阿基坦省 (Aquitaine Province)
尼斯公社,县,省会,-,700000,普罗旺斯省 (Provence Province)
格勒诺布尔公社,县,省会,-,700000,奥弗涅省 (Auvergne Province)
第戎公社,县,省会,-,700000,勃艮第省 (Burgundy Province)
梅斯公社,县,省会,-,700000,大东部省 (Grand Est Province)
奥尔良公社,县,省会,-,700000,卢瓦尔河谷省 (Loire Valley Province)
巴黎公社,县,中心城市,-,1000000,巴黎广域市 (Paris Metropolitan City)
巴黎左岸公社,县,-,-,1800000,巴黎广域市 (Paris Metropolitan City)
巴黎右岸公社,县,-,-,1700000,巴黎广域市 (Paris Metropolitan City)
里昂公社,县,中心城市,-,1000000,里昂广域市 (Lyon Metropolitan City)
里昂罗讷公社,县,-,-,900000,里昂广域市 (Lyon Metropolitan City)
里昂索恩公社,县,-,-,850000,里昂广域市 (Lyon Metropolitan City)
马赛公社,县,中心城市,-,1000000,马赛广域市 (Marseille Metropolitan City)
马赛旧港公社,县,-,-,800000,马赛广域市 (Marseille Metropolitan City)
马赛地中海公社,县,-,-,750000,马赛广域市 (Marseille Metropolitan City)
里尔公社,县,中心城市,-,1000000,里尔广域市 (Lille Metropolitan City)
里尔佛兰德公社,县,-,-,700000,里尔广域市 (Lille Metropolitan City)
里尔边界公社,县,-,-,650000,里尔广域市 (Lille Metropolitan City)
图卢兹公社,县,中心城市,-,1000000,图卢兹广域市 (Toulouse Metropolitan City)
图卢兹加龙公社,县,-,-,800000,图卢兹广域市 (Toulouse Metropolitan City)
图卢兹玫瑰公社,县,-,-,760000,图卢兹广域市 (Toulouse Metropolitan City)
塞纳副公社,县,副省会,-,500000,塞纳副省区 (Seine Subprefecture District)
塞纳北公社,县,-,-,1100000,塞纳副省区 (Seine Subprefecture District)
塞纳南公社,县,-,-,1000000,塞纳副省区 (Seine Subprefecture District)
马恩副公社,县,副省会,-,500000,马恩副省区 (Marne Subprefecture District)
马恩东公社,县,-,-,650000,马恩副省区 (Marne Subprefecture District)
马恩西公社,县,-,-,600000,马恩副省区 (Marne Subprefecture District)
雷恩副公社,县,副省会,-,500000,雷恩副省区 (Rennes Subprefecture District)
雷恩中央公社,县,-,-,700000,雷恩副省区 (Rennes Subprefecture District)
