# name,kind,label,seat_name,population,parent
巴黎省 (Paris Province),行省,-,塞纳省会,32000000,高卢-法兰西大区 (Gaul-France Region)
诺曼底省 (Normandy Province),行省,-,马恩省会,8500000,高卢-法兰西大区 (Gaul-France Region)
布列塔尼省 (Brittany Province),行省,-,雷恩省会,7200000,高卢-法兰西大区 (Gaul-France Region)
阿基坦省 (Aquitaine Province),行省,-,波尔多省会,9800000,高卢-法兰西大区 (Gaul-France Region)
普罗旺斯省 (Provence Province),行省,-,尼斯省会,9600000,高卢-法兰西大区 (Gaul-France Region)
奥弗涅省 (Auvergne Province),行省,-,格勒诺布尔省会,8500000,高卢-法兰西大区 (Gaul-France Region)
勃艮第省 (Burgundy Province),行省,-,第戎省会,7900000,高卢-法兰西大区 (Gaul-France Region)
大东部省 (Grand Est Province),行省,-,梅斯省会,5500000,高卢-法兰西大区 (Gaul-France Region)
卢瓦尔河谷省 (Loire Valley Province),行省,-,奥尔良省会,11000000,高卢-法兰西大区 (Gaul-France Region)
巴伐利亚省 (Bavaria Province),行省,-,巴伐利亚南部省会,17000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
巴登-符腾堡省 (Baden-Württemberg Province),行省,-,巴登-符腾堡省会,12500000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
北莱茵省 (North Rhine Province),行省,-,莱茵中部省会,18000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
下萨克森省 (Lower Saxony Province),行省,-,汉诺威省会,9000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
萨克森省 (Saxony Province),行省,-,德累斯顿省会,7000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
瑞士阿尔卑斯省 (Swiss Alps Province),行省,-,瑞士阿尔卑斯省会,9000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
苏黎世谷地省 (Zurich Valley Province),行省,-,苏黎世省会,8000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
荷兰沿海省 (Netherlands Coast Province),行省,-,鹿特丹省会,8500000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
弗兰德斯省 (Flanders Province),行省,-,安特卫普省会,10000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
瓦隆省 (Wallonia Province),行省,-,列日省会,8000000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
