# name,kind,label,seat_name,population,parent
塞纳副省区 (Seine Subprefecture District),县,-,塞纳副副省会,4200000,巴黎省 (Paris Province)
马恩副省区 (Marne Subprefecture District),县,-,马恩副副省会,2100000,诺曼底省 (Normandy Province)
雷恩副省区 (Rennes Subprefecture District),县,-,雷恩副副省会,1800000,布列塔尼省 (Brittany Province)
波尔多副省区 (Bordeaux Subprefecture District),县,-,波尔多副副省会,2600000,阿基坦省 (Aquitaine Province)
尼斯副省区 (Nice Subprefecture District),县,-,尼斯副副省会,1900000,普罗旺斯省 (Provence Province)
格勒诺布尔副省区 (Grenoble Subprefecture District),县,-,格勒诺布尔副副省会,1700000,奥弗涅省 (Auvergne Province)
第戎副省区 (Dijon Subprefecture District),县,-,第戎副副省会,1600000,勃艮第省 (Burgundy Province)
梅斯副省区 (Metz Subprefecture District),县,-,梅斯副副省会,1400000,大东部省 (Grand Est Province)
奥尔良副省区 (Orleans Subprefecture District),县,-,奥尔良副副省会,2200000,卢瓦尔河谷省 (Loire Valley Province)
巴伐利亚南部副省区 (South Bavaria Subprefecture District),县,-,巴伐利亚南部副副省会,4200000,巴伐利亚省 (Bavaria Province)
巴伐利亚北部副省区 (North Bavaria Subprefecture District),县,-,巴伐利亚北部副副省会,3800000,巴伐利亚省 (Bavaria Province)
莱茵中部副省区 (Middle Rhine Subprefecture District),县,-,莱茵中部副副省会,5200000,北莱茵省 (North Rhine Province)
鲁尔副省区 (Ruhr Subprefecture District),县,-,鲁尔副副省会,6800000,北莱茵省 (North Rhine Province)
汉诺威副省区 (Hannover Subprefecture District),县,-,汉诺威副副省会,4100000,下萨克森省 (Lower Saxony Province)
德累斯顿副省区 (Dresden Subprefecture District),县,-,德累斯顿副副省会,3100000,萨克森省 (Saxony Province)
苏黎世副省区 (Zurich Subprefecture District),县,-,苏黎世副副省会,3900000,苏黎世谷地省 (Zurich Valley Province)
鹿特丹副省区 (Rotterdam Subprefecture District),县,-,鹿特丹副副省会,3600000,荷兰沿海省 (Netherlands Coast Province)
安特卫普副省区 (Antwerp Subprefecture District),县,-,安特卫普副副省会,4300000,弗兰德斯省 (Flanders Province)
列日副省区 (Liege Subprefecture District),县,-,列日副副省会,2800000,瓦隆省 (Wallonia Province)
卢森堡副省区 (Luxembourg Subprefecture District),县,-,卢森堡副副省会,1500000,卢森堡省 (Luxembourg Province)
布尔诺副省区 (Brno Subprefecture District),县,-,布尔诺副副省会,2400000,摩拉维亚省 (Moravia Province)
布拉迪斯拉发副省区 (Bratislava Subprefecture District),县,-,布拉迪斯拉发副副省会,2100000,斯洛伐克省 (Slovakia Province)
佩奇副省区 (Pécs Subprefecture District),县,-,佩奇副副省会,1800000,匈牙利平原省 (Hungarian Plain Province)
卢布尔雅那副省区 (Ljubljana Subprefecture District),县,-,卢布尔雅那副副省会,1600000,斯洛文尼亚省 (Slovenia Province)
萨拉热窝副省区 (Sarajevo Subprefecture District),县,-,萨拉热窝副副省会,1900000,波斯尼亚省 (Bosnia Province)
锡比乌副省区 (Sibiu Subprefecture District),县,-,锡比乌副副省会,2600000,特兰西瓦尼亚省 (Transylvania Province)
克卢日副省区 (Cluj Subprefecture District),县,-,克卢日副副省会,3000000,特兰西瓦尼亚省 (Transylvania Province)
普洛耶什蒂副省区 (Ploiesti Subprefecture District),县,-,普洛耶什蒂副副省会,2400000,瓦拉几亚省 (Wallachia Province)
普列夫利亚副省区 (Pleven Subprefecture District),县,-,普列夫利亚副副省会,1700000,保加利亚北部省 (Northern Bulgaria Province)
波兹南副省区 (Poznań Subprefecture District),县,-,波兹南副副省会,3200000,大波兰省 (Greater Poland Province)
卡托维兹副省区 (Katowice Subprefecture District),县,-,卡托维兹副副省会,4100000,西里西亚省 (Silesia Province)
克拉科夫副省区 (Kraków Subprefecture District),县,-,克拉科夫副副省会,4300000,加利西亚省 (Galicia Province)
布列斯特副省区 (Brest Subprefecture District),县,-,布列斯特副副省会,2100000,波列西耶省 (Polesia Province)
切尔尼戈夫副省区 (Chernihiv Subprefecture District),县,-,切尔尼戈夫副副省会,2400000,第聂伯河西省 (West Dnieper Province)
基希讷乌副省区 (Chișinău Subprefecture District),县,-,基希讷乌副副省会,2800000,摩尔多瓦省 (Moldova Province)
塞瓦斯托波尔副省区 (Sevastopol Subprefecture District),县,-,塞瓦斯托波尔副副省会,1600000,克里米亚省 (Crimea Province)
