# name,role,age,constituency
艾德里安·洛朗,总统,58,欧罗巴共和国
卢卡·维斯特,总理,54,高卢-法兰西大区 (Gaul-France Region)
伊莎贝尔·冯·克莱因,参议院议长,50,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
马可·迪·安泽,众议院议长,49,亚平宁-希腊大区 (Italia-Hellas Region)

维克托·诺瓦克,参议员,62,高卢-法兰西大区 (Gaul-France Region)
艾琳·贝尔格,参议员,61,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
亚历山大·罗森,众议员,43,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
索菲娅·马泰,众议员,38,亚平宁-希腊大区 (Italia-Hellas Region)
乔治·卡斯特罗,议员,46,波兰-立陶宛大区 (Polonia-Lithuania Region)
玛蒂尔达·罗伊,议员,44,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
恩里克·德索萨,议员,47,伊比利亚大区 (Iberian Union Region)
彼得·坎贝尔,议员,45,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)

凯瑟琳·维尔,法官,60,欧罗巴共和国
马丁·霍夫曼,法官,58,欧罗巴共和国

海伦娜·德弗雷,阁员,52,高卢-法兰西大区 (Gaul-France Region)
奥斯卡·冯·莱恩,阁员,55,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
塞拉菲娜·罗曼,阁员,41,亚平宁-希腊大区 (Italia-Hellas Region)
里卡多·梅斯特,阁员,48,伊比利亚大区 (Iberian Union Region)
艾利克斯·哈格,议员,42,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
诺拉·斯文森,议员,39,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)

安娜·贝尔蒙,议员,41,巴黎省 (Paris Province)
克莱门特·杜兰,议员,47,巴黎广域市 (Paris Metropolitan City)
朱利安·费舍尔,议员,44,法兰克福广域市 (Frankfurt Metropolitan City)
汉娜·舒尔茨,议员,40,柏林广域市 (Berlin Metropolitan City)
托马斯·莱纳,议员,46,维也纳广域市 (Vienna Metropolitan City)
艾米莉亚·科瓦尔,议员,37,华沙广域市 (Warsaw Metropolitan City)
莱昂·伯格曼,议员,50,哥本哈根广域市 (Copenhagen Metropolitan City)
维拉·桑切斯,议员,36,马德里广域市 (Madrid Metropolitan City)
乔纳斯·皮雷斯,议员,45,里斯本广域市 (Lisbon Metropolitan City)
娜塔莉亚·阿尔贝蒂,议员,39,斯德哥尔摩广域市 (Stockholm Metropolitan City)
菲利普·罗什,议员,43,伦敦广域市 (London Metropolitan City)

埃娃·诺德,议员,40,斯德哥尔摩公社
马格努斯·林德,议员,42,巴黎公社
索菲·格林,议员,35,伦敦公社
奥利弗·怀特,议员,38,柏林公社
西尔维娅·贝内特,议员,33,维也纳公社

阿德里安·莫里斯,大区区长,57,高卢-法兰西大区 (Gaul-France Region)
克莱尔·杜瓦,大区议会主席,51,高卢-法兰西大区 (Gaul-France Region)
皮埃尔·勒费弗尔,大区委员会委员,48,高卢-法兰西大区 (Gaul-France Region)

汉斯·贝克,大区区长,59,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
索菲·瓦格纳,大区议会主席,47,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
马库斯·费舍尔,大区委员会委员,44,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)

卡尔·施耐德,省长,56,巴伐利亚省 (Bavaria Province)
安妮卡·霍夫,省议会主席,49,巴伐利亚省 (Bavaria Province)
卢卡斯·迈尔,省委员会委员,45,巴伐利亚省 (Bavaria Province)

玛丽亚·罗西,省长,53,伦巴第省 (Lombardy Province)
安德烈亚·贝内代蒂,省议会主席,46,伦巴第省 (Lombardy Province)
菲奥雷拉·科隆博,省委员会委员,41,伦巴第省 (Lombardy Province)

雅克·莫兰,副省长,50,巴黎省 (Paris Province)
索菲·杜邦,省议会主席,45,巴黎省 (Paris Province)
让-保罗·勒内,省委员会委员,42,巴黎省 (Paris Province)

贝特朗·卡雷,副省长,48,诺曼底省 (Normandy Province)
埃洛迪·马丁,省议会主席,43,诺曼底省 (Normandy Province)
弗朗索瓦·勒鲁,省委员会委员,39,诺曼底省 (Normandy Province)

米凯莱·贝尔蒂,副省长,52,托斯卡纳省 (Tuscany Province)
瓦伦蒂娜·罗曼尼,省议会主席,44,托斯卡纳省 (Tuscany Province)
洛伦佐·加利,省委员会委员,40,托斯卡纳省 (Tuscany Province)

安东·科瓦奇,副省长,51,波希米亚省 (Bohemia Province)
埃娃·诺瓦克,省议会主席,46,波希米亚省 (Bohemia Province)
托马斯·赫尔曼,省委员会委员,43,波希米亚省 (Bohemia Province)

弗朗茨·霍勒,副省长,49,上奥地利省 (Upper Austria Province)
莉奥妮·迈尔,省议会主席,42,上奥地利省 (Upper Austria Province)
塞巴斯蒂安·普拉格,省委员会委员,38,上奥地利省 (Upper Austria Province)

马丁·贝尔,副省长,54,北莱茵省 (North Rhine Province)
汉娜·克鲁格,省议会主席,48,北莱茵省 (North Rhine Province)
约纳斯·里特,省委员会委员,41,北莱茵省 (North Rhine Province)

米洛斯·彼得罗维奇,副省长,52,波斯尼亚省 (Bosnia Province)
娜塔莎·维多维奇,省议会主席,45,波斯尼亚省 (Bosnia Province)
德拉甘·米哈伊洛夫,省委员会委员,43,波斯尼亚省 (Bosnia Province)

西尔维娅·萨拉,广域市市长,47,巴黎广域市 (Paris Metropolitan City)
